"145.110","-","MA","Concord","","N1CON","110.9","123.0",,"Middlesex","","","","2024/05/06",
"145.110","-","MA","New Bedford","","W1SMA","67.0","","OFF","Bristol","4240","4240","","2025/09/10",
"145.110","-","ME","Shapleigh","DMR    ","K1DQ","CC4","",,"York","","","DMR-MARC New England Net","2015/10/10",
"145.130","-","MA","Deerfield","","AB1RS","","173.8",,"Franklin","","","","2014/04/13",
"145.130","-","MA","Gloucester","","W1GLO","107.2","",,"Essex","","480139","","2013/05/30",
"145.130","-","ME","Eddington","YSF    ","KC1FRJ","","",,"Penobscot","","","UFB New England YSF Net","2026/03/10",
"145.130","-","RI","West Warwick","","W1RI","77.0","",,"Kent","","","","2025/08/16",
"145.130","-","VT","Norwich","P25DMR/FM ","N1CIV","100.0/CC7/NAC 293","",,"Windsor","","","GMARS Analog Net,GMARS Digital Net","2023/11/20",
"145.140","-","CT","Bristol","D-STAR    ","W1IXU","C","",,"Hartford","","","","2014/04/30",
"145.140","*","MA","Holliston","DMR    ","W1DSR","CC1","",,"Middlesex","","","*Input: 147.975 (+2.835 MHz), DMR-MARC Net","2020/04/19",
"145.140","-","ME","New Sharon","DMR    ","W1BHR","CC11","",,"Franklin","","","DMR-MARC New England Net","2015/11/26",
"145.150","-","MA","Fall River","","WA1DGW","123.0","",,"Bristol","","","","2024/11/10",
"145.150","-","MA","Feeding Hills","D-STAR    ","W1KK","C","",,"Hampden","","","","2024/05/06",
"145.150","-","ME","Calais","","K1QA","100.0","","Local","Washington","","","","2025/07/09",
"145.150","-","NH","Kensington","","W1WQM","127.3","",,"Rockingham","","","","2015/11/30",
"145.150","-","VT","Bolton","","WB1GQR","100.0","",,"Chittenden","","","445.025 (Bolton, VT)","2020/06/24",
"145.160","-","MA","Brookline","D-STAR    ","K1MRA","C","",,"Norfolk","","","D-STAR REF050 C","2014/12/23",
"145.170","-","CT","Southington","","W1ECV","77.0","",,"Hartford","","","","2025/05/10",
"145.170","-","ME","Island Falls","","KB1JVP","123.0","","OFF","Aroostook","","","","2024/05/06",
